DoctorID,DoctorFirst,DoctorLast,Phone,Cell,ClinicID
1,Jonathan,Archibald,5145241642,5143171644,4
2,Alma,Vang,5145414414,5145415785,12
3,Burke,Munishi,5145426455,5145774165,5
4,Robert,Mulligan,5144510841,5145418833,15
5,Wendell,Douglas,5145455471,5145451789,6
6,Allen,Esch,5145426455,5145771201,5
7,Chris,Russell,5144558701,5144556521,8
8,Kim,Mukio,5146654571,5143179842,14
9,Carol,Braund,5144553877,5144553007,7
10,Brett,Peloquin,5144568132,5145774512,9
11,Dai,Yan,5145445788,5145445866,13
12,Evelyn,Yaeger,5144531544,5145772390,10
13,David,Reback,5144553877,5143174414,7
14,Terry,Juyal,5145241642,5143176589,4
15,Joseph,Finley,5143554674,5143550536,11
16,Robert,Gurtz,5144558701,5144558144,8
17,Kathleen,Bass,5145414414,5143176624,12
18,Mark,Saleh,5146654571,5145773038,14
19,Andrea,Galica,5145455471,5145452466,6
20,Ming,Lam,5144568132,5143173874,9
21,Ming,Lam,5144568132,5143173874,9
