EmpID,EmpFirst,EmpMI,EmpLast,SIN,DOB,StartDate,EndDate,Address,City,Prov,PostalCode,JobID,Memo,Phone,Cell,Salary,HourlyRate,Review Date
1,Anne,M,Lessard,461710883,12/9/1998 0:00:00,3/12/2016 0:00:00,,6803 90th Ave,Montreal,QC,H4E1J7,3,,5144699664,5144691676,0.00,11.55,4/20/2016 0:00:00
2,Phillip,T,Starkey,413632487,4/5/1979 0:00:00,2/28/2011 0:00:00,,11122 39th Ave,Montreal,QC,H4E1R7,4,,5144633578,5145771631,0.00,8.40,10/24/2021 0:00:00
3,Catherine,C,Adams-Cook,504019756,2/13/1978 0:00:00,2/24/2011 0:00:00,,2248 Tanner Wynd NW,Montreal,QC,H4E1B1,4,,5144445432,5144445821,0.00,9.00,11/1/2021 0:00:00
4,Juanita,M,Cortes,602485239,9/24/1989 0:00:00,6/12/2009 0:00:00,,12107 40th St,Montreal,QC,H4E1B2,4,Speaks fluent Spanish,5144322035,5145778832,0.00,12.00,7/18/2021 0:00:00
5,Joan,S,Gabel,366346168,9/12/1988 0:00:00,5/1/2010 0:00:00,,9321 71st Ave NW,Montreal,QC,H4E1B3,1,,5144361128,5144791399,115000.00,0.00,
6,Karl,K,Fujikawa,409554546,4/2/1998 0:00:00,6/12/2017 0:00:00,,501 10145th 119 St NW,Montreal,QC,H4E1M9,2,,5144441686,5144445422,50000.00,0.00,
7,Claudio,G,Montes,522389217,5/2/1982 0:00:00,2/7/2016 0:00:00,12/1/2016 0:00:00,6587 187th St,Montreal,QC,H4E3B7,3,Entered graduate program,5144875623,5144872644,0.00,9.80,
8,Krysta,L,Molloy,512456020,6/30/1992 0:00:00,8/12/2015 0:00:00,,9015 56th St,Montreal,QC,H4E1S1,3,On family leave,5144658433,5143174405,0.00,8.56,7/2/2021 0:00:00
9,Kim,W,Siemers,598334298,11/29/1979 0:00:00,5/11/2006 0:00:00,,903 Saskatchewan Dr,Montreal,QC,H4E2M2,5,,5144320987,5144327891,45500.00,0.00,
10,Jack,E,Knowles,632583120,5/28/1987 0:00:00,7/14/2008 0:00:00,,8732 80th Ave SW,Montreal,QC,H4E2H4,4,Reprimanded for tardiness (4/16),5144623385,5144629038,0.00,7.00,2/20/2021 0:00:00
